CODIGO;CATEGORIA;DESCRICAO;DIMENSAO;UNIDADE;MATERIAL;TIPO
RU1597;RU_DRENO;"CONEXAO ""Y"" DE TUBO CORRUGADO 65X65MM";1;PC;PEAD;-
RU1598;RU_DRENO;"CONEXAO ""Y"" DE TUBO CORRUGADO 80X80MM";1;PC;PEAD;-
RU1599;RU_DRENO;"CONEXAO ""Y"" DE TUBO CORRUGADO 100X100MM";1;PC;PEAD;-
RU1600;RU_DRENO;"CONEXAO ""Y"" DE TUBO CORRUGADO 170X100MM";1;PC;PEAD;-
RU1601;RU_DRENO;"CONEXAO ""Y"" DE TUBO CORRUGADO 170X170MM";1;PC;PEAD;-
RU1602;RU_DRENO;"CONEXAO ""Y"" DE TUBO CORRUGADO 230X170MM";1;PC;PEAD;-
RU1603;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  100MM;1;MT;PVC;TUBO
RU1604;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  150MM;1;MT;PVC;TUBO
RU1605;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  200MM;1;MT;PVC;TUBO
RU1606;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  250MM;1;MT;PVC;TUBO
RU1607;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  300MM;1;MT;PVC;TUBO
RU1608;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  350MM;1;MT;PVC;TUBO
RU1609;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO LISO JEI  400MM;1;MT;PVC;TUBO
RU1610;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO CURRUGADO JE 100MM;1;MT;PVC;TUBO
RU1611;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO CURRUGADO JE  150MM;1;MT;PVC;TUBO
RU1612;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO CURRUGADO JE  200MM;1;MT;PVC;TUBO
RU1613;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO CURRUGADO JE  250MM;1;MT;PVC;TUBO
RU1614;RU_INFRA_ESGOTO;TUBO COLETO DE ESGOTO CURRUGADO JE  300MM;1;MT;PVC;TUBO
